agent,seed,pretrained,trajectories,total_steps,avg_seq_dr_value,avg_logged_discounted_return,ess,seconds,train_seconds,git_sha,timestamp
bc,0,False,500,893,10.493639360143748,10.499242749999999,565.0709675737596,12.528300960955676,1.1799857020378113e-06,bdeab71,2026-05-10T10:14:18.895930+00:00
bc,0,True,500,893,10.493639360143748,10.499242749999999,565.0709675737596,13.23636672302382,3.530003596097231e-06,bdeab71,2026-05-10T10:16:30.690891+00:00
boltzmann_linear,0,False,500,893,10.13408086243076,10.499242749999999,13.818296698508432,18.89545392000582,1.0899966582655907e-06,bdeab71,2026-05-10T10:08:42.406899+00:00
boltzmann_linear,0,True,500,893,10.000072313635762,10.499242749999999,23.318040216904382,17.16293540998595,70.3778179109795,bdeab71,2026-05-10T10:12:07.877768+00:00
eps_greedy_linear,0,False,500,893,10.13408086243076,10.499242749999999,13.818296698508432,14.855004772020038,1.0899966582655907e-06,bdeab71,2026-05-10T10:03:03.594022+00:00
eps_greedy_linear,0,True,500,893,10.000072313635762,10.499242749999999,23.318040216904382,12.253664209041744,70.76763019699138,bdeab71,2026-05-10T10:06:25.324003+00:00
gbdt,0,True,500,893,9.918647021411056,10.499242749999999,20.387940265352658,1.9184456850052811,49.69456254696706,bdeab71,2026-05-10T10:21:19.703004+00:00
lin_ts,0,False,500,893,10.493639360143748,10.499242749999999,565.0709675737596,13.856667200976517,6.700283847749233e-07,bdeab71,2026-05-10T09:57:19.305378+00:00
lin_ts,0,True,500,893,10.493639360143748,10.499242749999999,565.0709675737596,19.61636465997435,70.93325899797492,bdeab71,2026-05-10T10:00:48.515627+00:00
linucb,0,False,500,893,10.493639360143748,10.499242749999999,565.0709675737596,34.701629896007944,7.899943739175797e-07,bdeab71,2026-05-10T09:43:01.359071+00:00
linucb,0,True,500,893,10.00962225497232,10.499242749999999,23.196736922044185,27.164482867985498,71.04607005498838,bdeab71,2026-05-10T09:46:37.746747+00:00
logged_replay,0,False,500,893,49.91214809583539,10.499242749999999,30.661917222300577,1.3750937250442803,1.100008375942707e-06,bdeab71,2026-05-10T09:53:10.323321+00:00
logged_replay,0,True,500,893,49.91214809583539,10.499242749999999,30.661917222300577,1.5633752219728194,3.969995304942131e-06,bdeab71,2026-05-10T09:55:09.712964+00:00
most_popular,0,False,500,893,10.13408086243076,10.499242749999999,13.818296698508432,1.4057043259963393,1.2599630281329155e-06,bdeab71,2026-05-10T09:48:37.508217+00:00
most_popular,0,True,500,893,10.493639360143748,10.499242749999999,565.0709675737596,1.579348031023983,34.10427532799076,bdeab71,2026-05-10T09:51:10.906668+00:00
random,0,False,500,893,10.13408086243076,10.499242749999999,13.818296698508432,1.471475226979237,1.2399978004395962e-06,bdeab71,2026-05-10T09:37:53.559619+00:00
random,0,True,500,893,10.13408086243076,10.499242749999999,13.818296698508432,1.4297584429732524,34.36994471802609,bdeab71,2026-05-10T09:40:28.560977+00:00
